Artist and Title,Streams,Daily
The Weeknd - Blinding Lights,"3,78,39,83,806","17,36,378"
Ed Sheeran - Shape of You,"3,61,66,49,759","11,35,140"
Lewis Capaldi - Someone You Loved,"2,95,88,75,491","15,22,093"
Post Malone - Sunflower,"2,89,83,11,408","18,71,177"
Tones And I - Dance Monkey,"2,89,60,24,418","6,66,818"
Drake - One Dance,"2,77,05,48,672","14,61,772"
Post Malone - rockstar,"2,76,38,08,309","8,21,331"
The Kid LAROI - STAY,"2,73,81,83,590","14,90,471"
The Weeknd - Starboy,"2,65,85,50,411","22,05,639"
Imagine Dragons - Believer,"2,65,48,95,028","13,46,642"
Harry Styles - As It Was,"2,64,71,33,145","27,13,142"
Glass Animals - Heat Waves,"2,63,16,53,042","15,08,232"
The Chainsmokers - Closer,"2,62,86,70,123","8,34,463"
Ed Sheeran - Perfect,"2,62,12,55,983","12,84,093"
Shawn Mendes - SeÃ±orita,"2,52,34,66,357","8,04,984"
James Arthur - Say You Won't Let Go,"2,46,95,40,456","10,33,161"
Billie Eilish - lovely,"2,42,37,09,056","14,02,211"
Harry Styles - Watermelon Sugar,"2,38,07,87,760","12,25,123"
The Neighbourhood - Sweater Weather,"2,36,24,56,184","18,11,559"
Dua Lipa - Don't Start Now,"2,34,92,14,553","9,59,143"
Billie Eilish - bad guy,"2,34,37,54,687","6,92,396"
Juice WRLD - Lucid Dreams,"2,32,54,56,383","7,50,088"
Ed Sheeran - Thinking out Loud,"2,31,34,15,794","6,98,115"
Drake - God's Plan,"2,29,37,70,579","9,76,484"
Ed Sheeran - Photograph,"2,28,02,10,098","9,09,945"
The Chainsmokers - Something Just Like This,"2,25,39,83,245","10,69,278"
Queen - Bohemian Rhapsody,"2,24,15,12,021","10,05,635"
Lady Gaga - Shallow,"2,19,87,52,886","8,50,863"
Hozier - Take Me to Church,"2,18,85,65,483","12,24,613"
Post Malone - Circles,"2,18,47,16,575","12,42,292"
Justin Bieber - Love Yourself,"2,16,35,56,569","9,09,569"
John Legend - All of Me,"2,12,42,74,070","8,34,100"
Imagine Dragons - Thunder,"2,10,29,20,956","10,49,567"
XXXTENTACION - SAD!,"2,07,98,22,824","5,24,229"
Vance Joy - Riptide,"2,07,63,01,444","13,67,528"
Ariana Grande - 7 rings,"2,07,09,82,360","7,67,612"
OneRepublic - Counting Stars,"2,07,01,08,919","12,41,291"
Travis Scott - goosebumps,"2,06,87,77,853","8,79,747"
Twenty One Pilots - Stressed Out,"2,03,32,65,603","10,74,423"
Avicii - Wake Me Up,"2,02,16,27,687","11,01,951"
XXXTENTACION - Jocelyn Flores,"2,01,49,93,007","5,86,342"
Macklemore & Ryan Lewis - Can't Hold Us,"2,01,29,64,534","13,03,503"
The Weeknd - The Hills,"1,99,52,94,949","10,82,370"
Passenger - Let Her Go,"1,97,29,75,207","9,66,048"
Kendrick Lamar - HUMBLE.,"1,96,75,67,983","8,59,428"
Lil Uzi Vert - XO Tour Llif3,"1,95,20,50,268","6,01,643"
Calvin Harris - One Kiss,"1,94,11,08,553","9,25,182"
Camila Cabello - Havana,"1,93,91,41,226","4,13,239"
Dua Lipa - New Rules,"1,93,17,78,574","6,15,303"
Olivia Rodrigo - good 4 u,"1,93,03,39,344","10,15,488"
Marshmello - Happier,"1,92,95,80,081","6,03,929"
Travis Scott - SICKO MODE,"1,92,39,78,897","7,83,524"
Olivia Rodrigo - drivers license,"1,90,55,90,323","11,41,091"
Tom Odell - Another Love,"1,89,88,79,821","18,52,185"
Imagine Dragons - Demons,"1,89,54,12,482","13,02,442"
Shawn Mendes - Treat You Better,"1,89,23,26,011","10,20,390"
DJ Snake - Let Me Love You,"1,88,98,74,788","8,48,387"
Eminem - Lose Yourself,"1,87,87,54,263","10,58,515"
Justin Bieber - Sorry,"1,86,51,73,012","5,74,700"
J. Cole - No Role Modelz,"1,85,51,82,476","14,52,593"
The Killers - Mr. Brightside,"1,85,25,38,623","10,33,134"
Dua Lipa - Levitating,"1,85,10,93,246","9,76,801"
Sam Smith - Stay With Me,"1,84,96,52,228","7,75,777"
Lil Nas X - INDUSTRY BABY,"1,84,93,25,739","7,04,223"
Arctic Monkeys - Do I Wanna Know?,"1,84,47,85,280","12,95,903"
Major Lazer - Lean On,"1,83,80,21,303","7,43,365"
Halsey - Without Me,"1,83,74,41,044","7,82,464"
Coldplay - Yellow,"1,83,00,29,093","15,94,241"
Sam Smith - Too Good At Goodbyes,"1,82,22,96,917","8,87,152"
Post Malone - Congratulations,"1,81,20,86,607","6,44,971"
Post Malone - Better Now,"1,81,02,55,313","5,82,587"
SAINt JHN - Roses,"1,80,75,91,567","4,60,781"
Bad Bunny - DÃKITI,"1,79,89,04,349","7,39,167"
Maroon 5 - Memories,"1,79,62,66,623","8,19,037"
Mark Ronson - Uptown Funk,"1,79,42,83,442","7,17,133"
Alan Walker - Faded,"1,78,55,90,812","5,44,523"
Mike Posner - I Took A Pill In Ibiza,"1,77,64,79,873","6,83,808"
Lil Nas X - MONTERO (Call Me By Your Name),"1,76,37,59,779","6,10,861"
Shawn Mendes - There's Nothing Holdin' Me Back,"1,75,90,06,677","9,38,267"
French Montana - Unforgettable,"1,75,56,97,097","8,84,298"
Bruno Mars - That's What I Like,"1,75,28,46,512","12,92,244"
The Chainsmokers - Don't Let Me Down,"1,75,10,37,016","5,47,770"
Oasis - Wonderwall,"1,74,73,48,405","8,86,789"
Eminem - Without Me,"1,74,67,81,943","13,08,237"
"Ariana Grande - thank u, next","1,74,55,27,373","4,70,890"
The Weeknd - Die For You,"1,74,38,14,117","20,24,416"
Nirvana - Smells Like Teen Spirit,"1,73,62,21,046","9,92,653"
Eminem - Till I Collapse,"1,73,22,16,450","7,89,499"
24kGoldn - Mood,"1,72,29,56,831","4,85,786"
Ed Sheeran - I Don't Care,"1,72,14,55,109","3,71,220"
BTS - Dynamite,"1,72,00,86,360","5,65,274"
Bruno Mars - When I Was Your Man,"1,71,80,67,831","13,59,447"
XXXTENTACION - Moonlight,"1,71,02,67,376","5,99,493"
Bruno Mars - Just the Way You Are,"1,69,72,34,803","13,30,860"
Shawn Mendes - Stitches,"1,69,47,07,942","7,44,089"
Queen - Don't Stop Me Now,"1,69,11,05,058","10,71,628"
Roddy Ricch - The Box,"1,69,06,24,234","5,69,030"
Linkin Park - In the End,"1,67,21,21,458","11,09,654"
Wiz Khalifa - See You Again,"1,67,07,88,238","7,05,368"
Elton John - Cold Heart,"1,66,88,81,153","13,64,571"
Coldplay - Viva La Vida,"1,66,64,96,786","15,36,961"
Adele - Someone Like You,"1,66,54,03,018","9,18,157"
Jason Mraz - I'm Yours,"1,66,25,74,038","7,17,358"
Lukas Graham - 7 Years,"1,65,91,43,128","7,48,440"
Sia - Cheap Thrills,"1,65,39,03,252","5,49,747"
Lewis Capaldi - Before You Go,"1,65,29,45,021","9,34,695"
The Police - Every Breath You Take,"1,65,13,28,382","13,78,056"
Maroon 5 - Sugar,"1,65,04,29,374","7,19,505"
Luis Fonsi - Despacito,"1,64,87,16,223","2,70,587"
Journey - Don't Stop Believin',"1,64,70,76,713","9,18,967"
The Weeknd - Save Your Tears,"1,64,69,72,509","12,46,988"
Coldplay - The Scientist,"1,64,65,53,130","7,95,988"
Sam Smith - I'm Not The Only One,"1,64,56,07,373","8,57,986"
Charlie Puth - We Don't Talk Anymore,"1,63,39,47,009","8,66,546"
Lauv - I Like Me Better,"1,62,97,81,911","6,28,880"
Billie Eilish - when the party's over,"1,62,33,23,816","6,77,760"
Luis Fonsi - Despacito (Featuring Daddy Yankee),"1,61,88,20,561","5,01,388"
Imagine Dragons - Radioactive,"1,61,74,20,732","7,67,854"
Doja Cat - Kiss Me More,"1,61,23,38,578","8,30,083"
Queen - Another One Bites The Dust,"1,61,20,87,991","8,34,447"
5 Seconds of Summer - Youngblood,"1,61,10,13,661","6,37,231"
Guns N' Roses - Sweet Child O' Mine,"1,59,87,53,373","10,10,518"
Charlie Puth - Attention,"1,59,85,65,916","7,15,575"
Ed Sheeran - Bad Habits,"1,59,09,55,251","7,29,274"
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","1,59,02,86,660","5,15,812"
Twenty One Pilots - Heathens,"1,58,66,12,041","6,09,938"
Danny Ocean - Me RehÃºso,"1,57,13,17,118","8,50,590"
Maroon 5 - Girls Like You,"1,56,84,27,715","3,10,654"
DaBaby - ROCKSTAR,"1,56,17,96,549","3,24,834"
benny blanco - Eastside,"1,55,84,42,853","6,55,394"
The Weeknd - I Feel It Coming,"1,55,75,10,504","6,79,315"
Dean Lewis - Be Alright,"1,55,45,19,880","6,69,068"
The Weeknd - Can't Feel My Face,"1,54,72,07,402","7,64,367"
Twenty One Pilots - Ride,"1,54,45,86,880","6,59,825"
Bruno Mars - Locked out of Heaven,"1,54,36,73,181","18,78,777"
Foster The People - Pumped Up Kicks,"1,53,94,61,331","7,20,375"
Cardi B - I Like It,"1,53,45,95,339","3,68,715"
Post Malone - I Fall Apart,"1,53,23,03,636","4,39,954"
Sia - Chandelier,"1,53,22,01,468","6,37,526"
a-ha - Take on Me,"1,53,09,86,581","11,69,591"
Calvin Harris - This Is What You Came For,"1,52,78,60,257","6,70,453"
Maroon 5 - Payphone,"1,52,51,31,083","10,40,890"
TOTO - Africa,"1,52,23,27,396","8,18,164"
Adele - Rolling in the Deep,"1,51,93,45,533","11,05,406"
Post Malone - Wow.,"1,51,57,02,290","7,44,583"
ZAYN - Dusk Till Dawn,"1,51,22,53,724","5,66,912"
OMI - Cheerleader,"1,50,80,32,779","5,69,486"
Bad Bunny - Me Porto Bonito,"1,50,61,18,891","13,37,897"
Powfu - death bed (coffee for your head),"1,50,59,11,272","5,40,366"
Avicii - The Nights,"1,50,36,79,814","10,56,537"
The Weeknd - Call Out My Name,"1,49,71,25,581","10,17,743"
Gotye - Somebody That I Used To Know,"1,49,53,72,481","8,89,854"
Ava Max - Sweet but Psycho,"1,49,10,88,042","5,07,165"
Michael Jackson - Billie Jean,"1,48,58,56,490","9,22,071"
Trevor Daniel - Falling,"1,48,33,29,267","4,08,420"
Lord Huron - The Night We Met,"1,47,81,42,552","14,91,797"
DJ Snake - Taki Taki,"1,47,48,25,598","3,98,889"
J Balvin - LA CANCIÃN,"1,47,43,55,961","8,08,273"
Harry Styles - Adore You,"1,47,35,18,273","7,14,479"
Justin Bieber - Peaches,"1,47,29,34,434","5,65,872"
Eminem - The Real Slim Shady,"1,47,25,81,177","10,43,099"
The Weeknd - Earned It (Fifty Shades Of Grey),"1,46,78,68,288","7,02,946"
Taylor Swift - Blank Space,"1,46,23,04,492","22,05,641"
Dua Lipa - IDGAF,"1,46,10,63,086","4,72,078"
Lil Nas X - Old Town Road,"1,45,87,20,853","2,82,184"
Justin Bieber - What Do You Mean?,"1,45,68,43,449","4,17,427"
Mariah Carey - All I Want for Christmas Is You,"1,45,61,96,481","2,13,914"
ZAYN - I Donât Wanna Live Forever (Fifty Shades Darker),"1,45,61,14,042","5,90,660"
Adele - Easy On Me,"1,45,49,67,986","10,67,700"
Panic! At The Disco - High Hopes,"1,45,13,18,544","4,51,346"
Miley Cyrus - Flowers,"1,45,05,45,885","27,04,834"
DNCE - Cake By The Ocean,"1,44,96,68,324","5,90,478"
Adele - Hello,"1,44,13,11,472","4,04,697"
WALK THE MOON - Shut Up and Dance,"1,44,00,41,644","7,15,533"
Post Malone - Psycho,"1,43,70,66,850","3,40,437"
Childish Gambino - Redbone,"1,43,63,22,971","6,22,989"
Future - Mask Off,"1,43,00,02,912","5,94,685"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1,42,63,63,030","13,73,145"
David Guetta - Titanium,"1,42,48,35,046","7,51,819"
Marshmello - Silence,"1,42,44,32,430","5,05,806"
Ellie Goulding - Love Me Like You Do,"1,42,44,09,772","4,51,186"
Alec Benjamin - Let Me Down Slowly,"1,42,16,75,148","9,02,196"
Major Lazer - Cold Water,"1,41,89,41,617","3,77,325"
Travis Scott - HIGHEST IN THE ROOM,"1,41,87,05,165","6,17,276"
Arctic Monkeys - I Wanna Be Yours,"1,41,60,45,746","26,28,282"
Billie Eilish - everything i wanted,"1,41,46,49,237","7,83,761"
Christina Perri - A Thousand Years,"1,41,36,82,153","7,10,495"
XXXTENTACION - Everybody Dies In Their Nightmares,"1,41,32,00,246","5,85,236"
KAROL G - Tusa,"1,40,60,92,186","3,80,798"
Linkin Park - Numb,"1,40,58,51,093","10,33,248"
Coolio - Gangsta's Paradise,"1,40,51,04,924","10,16,890"
Arizona Zervas - ROXANNE,"1,40,07,76,340","2,96,515"
MÃ¥neskin - Beggin',"1,40,04,20,045","7,03,388"
Drake - Passionfruit,"1,40,00,98,656","9,28,404"
XXXTENTACION - Fuck Love,"1,39,90,79,591","5,69,016"
Clean Bandit - Rockabye,"1,39,70,72,692","4,02,402"
Zedd - The Middle,"1,39,54,62,014","4,15,930"
Queen - Under Pressure,"1,39,46,27,324","8,25,102"
The White Stripes - Seven Nation Army,"1,39,38,49,056","8,56,048"
Eagles - Hotel California,"1,39,13,52,147","7,60,023"
Khalid - Young Dumb & Broke,"1,38,89,71,513","4,77,457"
Juice WRLD - All Girls Are The Same,"1,38,79,60,821","7,73,979"
Anne-Marie - 2002,"1,38,72,16,967","5,67,068"
BeyoncÃ© - Halo,"1,38,65,87,140","6,44,204"
Bastille - Pompeii,"1,38,01,00,784","8,08,678"
J Balvin - Mi Gente,"1,37,37,63,858","4,06,018"
Tame Impala - The Less I Know The Better,"1,37,18,55,652","8,49,541"
Doja Cat - Woman,"1,37,02,81,598","9,84,378"
Maroon 5 - Maps,"1,35,97,57,499","10,34,060"
Shakira - Hips Don't Lie,"1,35,64,30,515","8,68,490"
White Noise Baby Sleep - Clean White Noise,"1,35,05,98,332","19,41,565"
Harry Styles - Sign of the Times,"1,34,82,96,704","6,38,595"
Ed Sheeran - Shivers,"1,34,75,30,766","9,41,253"
NF - Let You Down,"1,34,69,66,652","4,81,179"
"Earth, Wind & Fire - September","1,34,66,55,385","8,38,629"
Marshmello - FRIENDS,"1,34,64,31,482","3,27,466"
Conan Gray - Heather,"1,34,43,10,093","8,84,679"
